#,#
% of total,Жами %
(no name),(исмсиз)
Truck,Юк машинаси
Truck & driver,Юк машинаси ва ҳайдовчи
Truck / Plate,Машина / рақам
Truck Commercial Invoice must match GRN Commercial Invoice.,Машинанинг тижорат инвойси қабул далолатномаси инвойсига мос бўлиши керак.
Truck company must match GRN company.,Машина компанияси қабул далолатномаси компаниясига мос бўлиши керак.
Truck created and linked.,Юк машинаси яратилди ва боғланди.
Truck created.,Юк машинаси яратилди.
Truck linked.,Юк машинаси боғланди.
Truck Number,Юк машинаси рақами
Truck number,Юк машинаси рақами
Truck Receipt,Машина қабули
Truck Receipt company must match GRN company.,Машина қабули компанияси қабул далолатномаси компаниясига мос бўлиши керак.
Truck receipt saved.,Машина қабули сақланди.
Truck receipt submitted.,Машина қабули тасдиқланди.
Truck receipts,Юк машинаси қабуллари
Truck saved.,Юк машинаси сақланди.
Truck temperature {0} C is outside the target range {1} C to {2} C; ,
Truck temperature {0} C is outside the target range {1} C to {2} C; record a QC note to save.,Юк машинаси ҳарорати {0} C мақсадли оралиқдан ({1} C – {2} C) ташқарида; сақлаш учун сифат назорати изоҳини қўшинг.
Truck unlinked.,Юк машинаси ажратилди.
"Truck, driver or CI… ⌘K","Юк машинаси, ҳайдовчи ёки КИ… ⌘K"
Trucking Company,Ташувчи компания
Trucks,Юк машиналари
trucks,фура
Trucks blocked at the departure gate,Чиқиш назоратида блокланган машиналар
Trucks on the road,Йўлдаги юк машиналари
Trucks received,Қабул қилинган машиналар
Try a different search term or clear the filter.,Бошқа қидирув атамасини синаб кўринг ёки филтрни тозалаб кўринг.
Try adjusting your filters to find exceptions.,
Try again,Қайта уриниб кўринг
"Try another item code, name, or group.",
Try another search term.,
Try to submit,Тасдиқлашга уриниш
Tue,Се
Tuesday,
Type,Турл
Type / size,Тури / ўлчами
"Type a product code in the search above — stock status shows in the list, picking adds it as a line.","Юқоридаги қидирувга маҳсулот кодини ёзинг — омбор ҳолати рўйхатда кўринади, танласангиз қатор бўлиб қўшилади."
"Type to search, or pick a quick action","Қидириш учун енг, ёки тез амални танланг"
Unallocated,Тақсимланмаган
Unallocated expenses →,Тақсимланмаган харажатлар →
Unallocated quotations in Purchasing,Харидлардаги боғланмаган таклифлар
Unassigned,Белгиланмаган
unassigned,бириктирилмаган
Unassigned department or position.,Бўлим ёки лавозим бириктирилмаган.
Unassigned dept / position,Бўлим / лавозим йўқ
Unbilled,Ҳисобланмаган
Unbilled landed costs,Фактураланмаган харажатлар
Unbilled queue,Ҳисоб-фактура навбати
Under Inspection,Текширувда
Under Review,Кўриб чиқилмоқда
Under review,Кўриб чиқилмоқда
unfavorable,
Unit,Бирлик
Unit cost,Бирлик таннархи
Unit price,Бирлик нархи
units,
Units Sold,Сотилган бирлик
units total,жами бирлик
Unknown,
Unknown account: {0},
Unknown agreement: {0},Номаълум шартнома: {0}
Unknown commercial invoice for this company: {0},Ушбу компания учун номаълум тижорат инвойси: {0}
Unknown Commercial Invoice: {0},Номаълум тижорат инвойси: {0}
Unknown company: {0},Номаълум компания: {0}
Unknown Cost Center: {0},
Unknown cost line: {0},Номаълум харажат қатори: {0}
Unknown customer: {0},
Unknown customs declaration status: {0},Номаълум божхона декларацияси ҳолати: {0}
Unknown Customs Declaration: {0},Номаълум божхона декларацияси: {0}
Unknown deal: {0},
Unknown Didox Submission,
Unknown employee: {0},
Unknown Fiscal Year: {0},
Unknown freight booking status: {0},Номаълум юк брони ҳолати: {0}
Unknown Freight Booking: {0},Номаълум юк брони: {0}
Unknown GRN Checklist: {0},Номаълум GRN назорат рўйхати: {0}
Unknown hash algorithm: {0},
Unknown Import Container: {0},Номаълум импорт контейнери: {0}
Unknown Import Expense: {0},Номаълум импорт харажати: {0}
Unknown Import PI Group: {0},Номаълум PI гуруҳи: {0}
Unknown Import Truck: {0},Номаълум импорт юк машинаси: {0}
Unknown item group: {0},Номаълум товар турғуни: {0}
